instance,size,best known,fifo,lifo,lor,mor,spt,lpt,lwkr,mwkr,stpt,ltpt,Ours,,
abz5,"(10, 10)",1234,1467,1377,1559,1336,1352,1586,1735,1369,1624,1483,1381,,
abz6,"(10, 10)",943,1045,1168,1144,1031,1097,1207,1110,987,1124,1143,1080,,
abz7,"(20, 15)",656,803,981,933,775,849,903,1113,769,923,918,748,,
abz8,"(20, 15)",665,877,933,992,810,929,949,951,825,924,927,827,,
abz9,"(20, 15)",678,946,925,970,899,887,976,1071,857,917,1027,840,,
ft06,"(6, 6)",55,65,68,68,59,88,77,83,61,83,68,68,,
ft10,"(10, 10)",930,1184,1393,1352,1163,1074,1295,1334,1108,1262,1190,1152,,
ft20,"(20, 5)",1165,1645,1365,1487,1601,1267,1631,1392,1501,1309,1495,1481,,
yn01,"(20, 20)",884,1113,1214,1205,1045,1196,1115,1238,1005,1188,1177,1037,,
yn02,"(20, 20)",904,1148,1221,1446,1074,1256,1195,1329,1081,1199,1225,1103,,
yn03,"(20, 20)",892,1135,1172,1280,1100,1042,1159,1187,1118,1207,1126,1042,,
yn04,"(20, 20)",968,1194,1326,1296,1267,1273,1322,1456,1164,1498,1346,1119,,
