instance,size,best known,fifo,lifo,lor,mor,spt,lpt,lwkr,mwkr,stpt,ltpt,Ours,,
la01,"(10, 5)",666,772,796,941,763,751,822,933,735,933,835,764,,
la02,"(10, 5)",655,830,808,982,812,821,990,830,817,761,881,808,,
la03,"(10, 5)",597,755,766,758,726,672,825,822,696,811,696,685,,
la04,"(10, 5)",590,695,719,745,706,711,818,833,758,874,887,616,,
la05,"(10, 5)",593,610,704,704,593,610,693,766,593,677,658,648,,
la06,"(15, 5)",926,926,1060,1095,926,1200,1125,1067,926,1012,1098,1009,,
la07,"(15, 5)",890,1088,1098,1137,1001,1034,1069,1136,970,1105,1025,973,,
la08,"(15, 5)",863,980,1103,995,925,942,1035,1176,957,995,952,887,,
la09,"(15, 5)",951,1018,1192,1149,951,1045,1183,1334,1015,1220,1304,980,,
la10,"(15, 5)",958,1006,1090,1032,958,1049,1132,1312,966,1312,1033,958,,
la11,"(20, 5)",1222,1272,1502,1586,1222,1473,1467,1525,1268,1446,1416,1222,,
la12,"(20, 5)",1039,1039,1185,1295,1039,1203,1240,1305,1137,1358,1126,1039,,
la13,"(20, 5)",1150,1199,1395,1320,1150,1275,1230,1354,1166,1267,1252,1150,,
la14,"(20, 5)",1292,1292,1593,1567,1292,1427,1434,1725,1292,1646,1419,1292,,
la15,"(20, 5)",1207,1587,1684,1598,1436,1339,1612,1648,1343,1632,1394,1334,,
la16,"(10, 10)",945,1180,1113,1119,1108,1156,1229,1347,1054,1268,1165,1045,,
la17,"(10, 10)",784,943,1047,948,844,924,1082,1203,846,1120,993,917,,
la18,"(10, 10)",848,1049,1253,1154,942,981,1114,1154,970,1111,1198,982,,
la19,"(10, 10)",842,983,1015,1004,1088,940,1062,986,1013,981,1004,917,,
la20,"(10, 10)",902,1272,1262,1207,1130,1000,1272,1232,964,1201,1086,1142,,
la21,"(15, 10)",1046,1265,1334,1547,1251,1324,1451,1518,1264,1541,1278,1240,,
la22,"(15, 10)",927,1312,1260,1359,1198,1180,1315,1589,1079,1563,1156,1146,,
la23,"(15, 10)",1032,1354,1328,1493,1268,1162,1302,1374,1185,1254,1490,1151,,
la24,"(15, 10)",935,1141,1422,1508,1149,1203,1245,1214,1101,1517,1233,1075,,
la25,"(15, 10)",977,1283,1359,1371,1209,1449,1374,1487,1166,1499,1250,1298,,
la26,"(20, 10)",1218,1372,1550,1687,1411,1498,1643,1606,1435,1754,1709,1351,,
la27,"(20, 10)",1235,1644,1564,1687,1566,1784,1644,1728,1442,1872,1804,1537,,
la28,"(20, 10)",1216,1474,1644,1743,1477,1610,1844,1750,1487,1529,1543,1542,,
la29,"(20, 10)",1152,1540,1627,1858,1437,1556,1720,1665,1337,1724,1728,1490,,
la30,"(20, 10)",1355,1648,1737,1847,1565,1792,1953,2067,1534,1956,1717,1584,,
la31,"(30, 10)",1784,1918,2064,2129,1836,1951,2245,2322,1931,2270,2083,1991,,
la32,"(30, 10)",1850,2110,2543,2374,1984,2165,2470,2341,1875,2345,2300,1930,,
la33,"(30, 10)",1719,1873,2323,2411,1811,1901,2297,2125,1875,2142,2070,1770,,
la34,"(30, 10)",1721,1925,2145,2545,1853,2070,2330,2223,1935,2108,2063,1787,,
la35,"(30, 10)",1888,2142,2469,2350,2064,2118,2349,2316,2118,2383,2390,1969,,
la36,"(15, 15)",1268,1516,1869,1932,1492,1799,1737,1899,1510,1894,1750,1420,,
la37,"(15, 15)",1397,1873,1805,1943,1606,1655,1944,1996,1588,1745,1679,1679,,
la38,"(15, 15)",1196,1475,1600,1741,1455,1404,1732,1820,1421,1838,1648,1458,,
la39,"(15, 15)",1233,1532,1641,1641,1540,1534,1625,1586,1500,1602,1702,1506,,
la40,"(15, 15)",1222,1531,1481,1631,1358,1476,1822,1570,1440,1613,1607,1398,,
