instance,size,best known,fifo,lifo,lor,mor,spt,lpt,lwkr,mwkr,stpt,ltpt,Ours,,
orb01,"(10, 10)",1059,1368,1398,1410,1307,1478,1410,1398,1359,1458,1308,1291,,
orb02,"(10, 10)",888,1007,1184,1194,1047,1175,1293,1170,1047,1166,1067,1030,,
orb03,"(10, 10)",1005,1405,1302,1297,1445,1179,1430,1389,1247,1295,1339,1255,,
orb04,"(10, 10)",1005,1325,1389,1601,1287,1236,1415,1432,1172,1351,1464,1202,,
orb05,"(10, 10)",887,1155,1187,1117,1050,1152,1099,1175,1173,1198,1152,1071,,
orb06,"(10, 10)",1010,1330,1371,1418,1345,1190,1474,1322,1291,1343,1407,1127,,
orb07,"(10, 10)",397,475,521,519,500,504,470,499,483,487,521,459,,
orb08,"(10, 10)",899,1225,1134,1094,1278,1107,1176,1178,1180,1245,1106,1130,,
orb09,"(10, 10)",934,1189,1287,1363,1165,1262,1268,1239,1144,1205,1272,1093,,
orb10,"(10, 10)",944,1303,1331,1381,1256,1113,1254,1265,1220,1162,1255,1065,,
