instance,size,best known,fifo,lifo,lor,mor,spt,lpt,lwkr,mwkr,stpt,ltpt,Ours,,
swv01,"(20, 10)",1407,2154,1902,1838,1971,1737,2145,1835,1988,1751,1961,1714,,
swv02,"(20, 10)",1475,2157,1865,1949,2158,1706,2113,1938,1971,1995,1968,1998,,
swv03,"(20, 10)",1398,2019,1956,2113,1870,1806,2149,1944,1874,1992,1919,1700,,
swv04,"(20, 10)",1464,2015,1857,1942,2026,1874,2132,1931,1879,1941,1943,1883,,
swv05,"(20, 10)",1424,2003,1865,1993,2049,1922,2091,2092,1882,2116,1752,1831,,
swv06,"(20, 15)",1671,2519,2246,2383,2287,2140,2542,2452,2135,2360,2327,2133,,
swv07,"(20, 15)",1594,2268,2257,2311,2101,2146,2263,2263,2115,2303,2273,2001,,
swv08,"(20, 15)",1752,2554,2519,2442,2480,2231,2819,2432,2544,2327,2326,2308,,
swv09,"(20, 15)",1655,2498,2285,2389,2553,2247,2505,2430,2118,2448,2194,2170,,
swv10,"(20, 15)",1743,2352,2302,2338,2431,2337,2637,2460,2300,2325,2284,2165,,
swv11,"(50, 10)",2983,4427,3784,4029,4642,3714,4763,3907,4257,3834,3928,3956,,
swv12,"(50, 10)",2977,4749,3705,3889,4821,3759,4503,3766,4327,3756,3761,3866,,
swv13,"(50, 10)",3104,4829,3809,4069,4755,3657,4467,3989,4389,3842,3955,3995,,
swv14,"(50, 10)",2968,4621,3567,3695,4740,3506,4632,3846,4164,3630,3802,3847,,
swv15,"(50, 10)",2885,4620,3481,3919,4905,3501,4404,3875,4374,3869,3690,3777,,
swv16,"(50, 10)",2924,2951,3323,3520,2924,3453,3416,3513,2924,3453,3133,2954,,
swv17,"(50, 10)",2794,2962,3101,3219,2848,3082,3438,3264,2861,3262,3105,2794,,
swv18,"(50, 10)",2852,2974,3418,3309,2852,3191,3591,3345,2935,3095,3381,2852,,
swv19,"(50, 10)",2843,3095,3341,3595,3060,3161,3889,3871,3008,3805,3174,2867,,
swv20,"(50, 10)",2823,2853,3416,3271,2851,3125,3592,3256,2823,3181,3356,2872,,
