instance,size,best known,fifo,lifo,lor,mor,spt,lpt,lwkr,mwkr,stpt,ltpt,Ours,gather,avg
ta01,"(15, 15)",1231,1486,1574,1737,1438,1462,1701,1710,1491,1501,1639,1444,1527,1652
ta02,"(15, 15)",1244,1486,1571,1811,1452,1446,1755,2024,1440,1797,1649,1459,1510,1974
ta03,"(15, 15)",1218,1461,1590,1574,1418,1495,1655,1759,1426,1803,1479,1427,1460,1751
ta04,"(15, 15)",1175,1575,1715,1550,1457,1708,1800,1843,1387,1979,1696,1393,1507,1736
ta05,"(15, 15)",1224,1457,1761,1788,1448,1618,1828,1772,1494,1901,1604,1574,1553,1571
ta06,"(15, 15)",1238,1528,1813,1714,1486,1522,1683,1740,1369,1677,1484,1435,1468,1457
ta07,"(15, 15)",1227,1497,1572,1754,1456,1434,1824,1655,1470,1729,1607,1356,1488,1452
ta08,"(15, 15)",1217,1496,1601,1709,1482,1457,1577,1945,1491,1586,1510,1511,1548,1855
ta09,"(15, 15)",1274,1642,1703,1844,1594,1622,1746,1997,1541,1717,1720,1480,1539,1693
ta10,"(15, 15)",1241,1600,1764,1847,1582,1697,1778,1702,1534,1660,1831,1491,1570,1588
ta11,"(20, 15)",1357,1701,1849,2092,1665,1865,2046,1977,1685,1985,2032,1677,1806,1916
ta12,"(20, 15)",1367,1670,2147,1992,1739,1667,2069,1890,1707,1862,1806,1578,1818,1921
ta13,"(20, 15)",1342,1862,1796,1957,1642,1802,2119,1821,1690,1859,1932,1613,1859,1899
ta14,"(20, 15)",1345,1812,2004,2077,1662,1635,1717,1889,1563,1940,1759,1510,1659,1827
ta15,"(20, 15)",1339,1788,1931,1950,1682,1835,2031,2022,1696,1890,1814,1581,1685,1980
ta16,"(20, 15)",1360,1825,1759,1957,1638,1965,2071,1890,1584,1803,2318,1685,1695,1834
ta17,"(20, 15)",1462,1899,2007,2264,1856,2059,2079,2284,1804,2188,1818,1753,1779,1944
ta18,"(20, 15)",1396,1833,1853,2437,1710,1808,1934,2199,1751,1937,1905,1608,1749,1946
ta19,"(20, 15)",1332,1716,1850,1840,1651,1789,1980,2078,1667,2016,1969,1712,1675,1923
ta20,"(20, 15)",1348,1827,1900,2112,1622,1710,1897,2022,1689,2104,2033,1558,1683,2030
ta21,"(20, 20)",1642,2089,2275,2324,1964,2175,2266,2477,2044,2373,2361,1985,2172,2316
ta22,"(20, 20)",1600,2146,2358,2067,1905,1965,2324,2153,1914,2403,2390,1961,1995,2116
ta23,"(20, 20)",1557,2010,2166,2198,1922,1933,2148,2342,1983,2280,2293,1989,1968,2191
ta24,"(20, 20)",1644,1989,2222,2320,1943,2230,2701,2189,1982,2262,2142,2050,2057,2173
ta25,"(20, 20)",1595,2160,1962,2276,1957,1950,2268,2455,1941,2553,2096,1911,1912,1964
ta26,"(20, 20)",1643,2182,2091,2308,1964,2188,2224,2389,1951,2372,2321,2029,1944,2110
ta27,"(20, 20)",1680,2091,2475,2272,2160,2096,2189,2510,2091,2585,2510,1957,2102,2204
ta28,"(20, 20)",1603,1980,2217,2272,1952,1968,2224,2688,1997,2622,2232,2025,2035,2138
ta29,"(20, 20)",1625,2011,2289,2239,1899,2166,2218,2554,1860,2495,2159,2246,2022,2382
ta30,"(20, 20)",1584,1941,2043,2420,2017,1999,2218,2126,1935,2223,2201,2000,1999,2032
ta31,"(30, 15)",1764,2277,2434,2962,2143,2335,2417,2667,2134,2959,2372,2176,2299,3086
ta32,"(30, 15)",1784,2279,2411,2923,2188,2432,2501,2860,2223,2757,2592,2347,2365,2513
ta33,"(30, 15)",1791,2481,2494,2852,2308,2453,2847,2733,2349,2740,2545,2226,2374,2672
ta34,"(30, 15)",1829,2546,2747,3060,2193,2434,2975,2809,2245,2877,2747,2179,2350,2752
ta35,"(30, 15)",2007,2478,2511,2652,2255,2497,2636,2569,2226,2516,2591,2223,2501,2469
